date,growth,VIX-std,redev-std,economics-std,monetary-std
1995/10/2,-0.002492431,-1.039367441,-0.730067555,-0.454679701,-0.896830193
1995/11/1,-0.003812813,-1.438995932,-0.727617379,-0.213354284,-0.011955996
1995/12/1,0.00662984,-1.272040029,-0.40278981,0.291935694,1.39672187
1996/1/2,-0.015497024,-1.270263902,-0.122009724,0.414257132,0.747713834
1996/2/1,0.001387051,-0.469230794,-0.090354598,-0.210484446,-0.633188398
1996/3/1,-0.008639357,-0.142423495,0.146475476,-0.453300799,-0.450636224
1996/4/1,-0.007130368,-0.684142116,-0.312461773,-0.883879607,-1.112726308
1996/5/1,-0.008337231,-0.641515077,-0.264308983,-0.594678631,-0.630370935
1996/6/3,0.001967213,-1.06600934,-0.780539809,-0.705392347,-0.396203078
1996/7/1,-0.006188031,-0.039408151,0.347043252,-0.837471788,-0.042755007
1996/8/1,-0.006394715,-0.474559174,-0.267421663,-0.693847532,-0.892178319
1996/9/3,0.000756784,-0.485215934,-0.629358217,-0.756219655,-0.438210979
1996/10/1,-0.008593568,-0.279185245,-0.673964016,-0.775001844,-0.840732786
1996/11/1,-0.006246263,-0.451469528,-0.72431041,-0.889920525,-1.077746644
1996/12/2,-0.00156326,0.219906336,0.108717889,-0.876827847,-0.579755706
1997/1/2,-0.012041428,-0.037632024,-0.209721701,-0.734607669,-0.708103654
1997/2/3,-0.006993472,0.251876615,0.079142349,-0.839614201,-1.283119652
1997/3/3,-0.000732984,0.436593784,0.279044193,-0.924465717,-0.574566651
1997/4/1,-0.006257351,0.067159446,0.580172377,-1.024507665,-0.496533684
1997/5/1,-0.004928366,-0.08736357,0.185819337,-0.588393301,-0.334404661
1997/6/2,-0.008512776,0.32825006,0.206397,-0.565512685,-0.691953411
1997/7/1,-0.009710552,0.319369427,0.091500427,-1.018294034,-1.204257849
1997/8/1,-0.008829136,0.90193896,0.413156231,-0.79443718,-0.319991926
1997/9/2,-0.008910569,0.573355535,0.469189755,-1.243090247,-1.331726633
1997/10/1,-0.008821065,2.736677764,2.338847967,-0.64928853,-0.242051131
1997/11/3,-0.00318531,1.376164769,0.626612338,-0.503758326,-0.698035096
1997/12/1,-0.005071674,0.768729463,0.32083877,-0.908675789,-0.606236369
1998/1/2,-0.000836834,0.317593301,0.537670457,0.195176471,0.44629795
1998/2/2,-0.000799279,-0.201035674,-0.378040636,-0.34792455,0.729225977
1998/3/2,-0.003472766,0.806028122,-0.318896738,-0.723192419,-0.68723451
1998/4/1,-0.006157398,0.266085628,0.069338967,-0.764246976,-0.647958301
1998/5/1,0.006538978,0.290951401,-0.30216577,-0.851138739,-0.575251966
1998/6/1,0.00378814,0.004995015,0.229854458,-0.814226991,-0.611016427
1998/7/1,-0.020590636,0.909043467,0.326375586,-0.803856376,-0.195219391
1998/8/3,0.002563908,4.368938132,2.321101831,0.386013298,0.877837708
1998/9/1,-0.007697597,3.777487966,2.553469657,1.204465414,2.466295709
1998/10/1,0.000405922,1.48628462,1.256375603,0.305019711,1.072059188
1998/11/2,-0.003502894,1.123954788,0.199103799,-0.088460953,0.923049027
1998/12/1,-0.004649986,0.841550655,0.689495369,-0.409039564,-0.119516807
1999/1/4,-0.004517365,1.166581827,0.915920373,-0.280946222,0.258236341
1999/2/1,-0.001917862,1.456090467,0.990955081,-0.887529786,-0.980575719
1999/3/1,-0.001931306,0.635519966,0.63828027,-1.073645738,-0.774883769
1999/4/1,-0.007667759,0.956998886,0.552757694,-1.247981622,-1.022057068
1999/5/3,0.001571722,1.013834938,0.785370667,-1.229790157,-1.100130292
